date_only,messages_per_day
2025-01-24,1
2025-02-12,1
2025-02-13,1
2025-02-14,3
2025-02-15,3
2025-02-16,2
2025-02-24,1
2025-03-07,3
2025-03-08,5
2025-03-09,1
2025-03-21,1
2025-03-30,1
2025-04-02,1
2025-04-04,2
2025-04-08,1
2025-04-10,1
2025-04-11,1
2025-04-21,4
2025-04-22,4
2025-04-23,3
2025-04-26,1
2025-04-28,1
2025-06-16,1
2025-06-21,1
2025-06-25,1
2025-06-28,1
2025-06-29,1
2025-07-05,1
2025-07-08,3
2025-07-09,3
2025-07-14,5
2025-07-15,1
2025-07-18,4
2025-07-19,3
2025-07-22,7
2025-07-23,4
2025-07-25,3
2025-07-29,12
2025-07-31,5
2025-08-01,2
2025-08-06,3
2025-08-09,4
2025-08-14,1
2025-08-16,2
2025-08-17,1
2025-08-21,2
2025-08-22,4
2025-09-03,8
2025-09-04,14
2025-09-05,2
2025-09-07,2
2025-09-09,16
2025-09-10,1
2025-09-12,4
2025-09-15,1
2025-09-16,4
2025-09-17,2
2025-09-18,3
2025-09-20,44
2025-09-22,8
2025-09-23,7
2025-10-13,3
2025-10-14,1
2025-10-16,5
2025-10-17,10
2025-10-18,3
2025-10-20,9
2025-10-23,3
2025-10-27,3
2025-10-28,3
2025-11-01,5
2025-11-02,4
2025-11-03,14
2025-11-04,1
2025-11-07,6
2025-11-09,3
2025-11-12,6
2025-11-13,27
2025-11-15,6
2025-11-16,6
2025-11-17,9
2025-11-18,9
2025-11-22,22
2025-11-23,3
2025-11-24,1
2025-11-27,6
2025-11-30,2
2025-12-02,4
2025-12-03,1
2025-12-04,5
2025-12-06,1
2025-12-07,7
2025-12-10,3
2025-12-11,5
2025-12-13,1
2025-12-14,1
2025-12-15,2
2025-12-16,1
2025-12-17,2
2025-12-19,11
2025-12-21,1
2025-12-22,9
2025-12-23,5
2025-12-27,1
2025-12-29,5
2026-01-02,6
2026-01-03,2
2026-01-07,3
2026-01-08,1
2026-01-10,6
2026-01-11,12
2026-01-12,2
2026-01-13,4
2026-01-14,13
2026-01-15,1
2026-01-16,5
2026-01-17,1
2026-01-18,3
2026-01-19,1
2026-01-20,6
2026-01-22,2
2026-01-24,1
2026-01-25,1
2026-01-28,3
2026-01-30,6
2026-01-31,2
2026-02-01,3
2026-02-02,2
2026-02-03,1
2026-02-04,4
2026-02-05,18
2026-02-06,15
2026-02-08,1
2026-02-10,2
2026-02-12,58
2026-02-13,276
2026-02-14,13
2026-02-15,2
2026-02-16,23
2026-02-17,3
2026-02-18,8
